num,smiles,logBB,BBB+/BBB-
1,O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,-2.69,BBB-
2,COC1(NC(=O)C(C(=O)O)c2ccc(O)cc2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)COC21,-2.52,BBB-
3,Oc1c(I)cc(Cl)c2cccnc12,-2.4,BBB-
4,CCNC(=NCCSCc1ncccc1Br)NC#N,-2.15,BBB-
5,CN1CC[C@]23c4c5ccc(OC6O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]6O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,-2.15,BBB-
6,CS(=O)(=O)N(CCO)c1c(Cl)c(Cl)cc2[nH]c(=O)c(=O)[nH]c12,-2.15,BBB-
7,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)C=C[C@H]3[C@H]1C5,-2.09,BBB-
8,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,-2.09,BBB-
9,O=c1[nH]c2cc(Cl)ccc2c(O)c1-c1cccc(Oc2ccccc2)c1,-2.03,BBB-
10,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,-2,BBB-
11,COc1cccnc1CCCCNc1ncc(Cc2ccc(C)nc2)c(=O)[nH]1,-2,BBB-
12,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@@H]1NCOC,-1.96,BBB-
13,Cc1ccc(Cc2cnc(NCCCCc3ncc(Br)cc3C)[nH]c2=O)cn1,-1.9,BBB-
14,COC1(NC(=O)C2SC(=C(C(N)=O)C(=O)O)S2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC21,-1.89,BBB-
15,CO[C@@]1(NC(=O)C2SC(=C(C(N)=O)C(=O)O)S2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,-1.89,BBB-
16,c1ccc(NC2=NCCN2)cc1,-1.89,BBB-
17,Cc1ccc(CC2CNC(NCCCCc3ncc(Br)cc3C)NC2=O)cn1,-1.88,BBB-
18,CN1Cc2c(-c3noc(C(C)(O)CO)n3)ncn2-c2cccc(Cl)c2C1=O,-1.82,BBB-
19,CC(C)c1nc(CN(C)C(=O)N[C@@H](C)C(=O)C[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)cs1,-1.82,BBB-
20,CN1Cc2c(-c3noc(C(C)(CO)CO)n3)ncn2-c2cccc(Cl)c2C1=O,-1.82,BBB-
21,CN1Cc2c(-c3noc(C(C)(O)O)n3)ncn2-c2cccc(Cl)c2C1=O,-1.82,BBB-
22,CN1Cc2c(-c3noc([C@](C)(O)CO)n3)ncn2-c2cccc(Cl)c2C1=O,-1.82,BBB-
23,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,-1.81,BBB-
24,CCOC(=O)N1CSCC1C(=O)O,-1.72,BBB-
25,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,-1.7,BBB-
26,O=C1c2c(O)cc(O)cc2CC(c2ccc(O)c(O)c2)C1O,-1.7,BBB-
27,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,-1.7,BBB-
28,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,-1.68,BBB-
29,C=CCc1cccc(/C=N\NC(=O)CN2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)c1O,-1.67,BBB-
30,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,-1.6,BBB-
31,OCC(O)C(O)C(O)C(O)CO,-1.6,BBB-
32,CC(=O)Nc1cccc(-c2csc(N=C(N)N)n2)c1,-1.57,BBB-
33,O=C(O)c1nc2ccc(C(F)(F)F)cc2nc1NCc1ccc(C(F)(F)F)cc1,-1.57,BBB-
34,CC(=O)NC1C(O)OC(COS(=O)(=O)O)C(OC2OC(COS(=O)(=O)O)C(O)C(O)C2O)C1O,-1.54,BBB-
35,CN=C(NC#N)Nc1cccc(-c2csc(N=C(N)N)n2)c1,-1.54,BBB-
36,NC(N)=Nc1nc(-c2ccc(O)c(O)c2)cs1,-1.54,BBB-
37,CC(C)CC(=O)c1ccc(OCCCCO)cc1O,-1.52,BBB-
38,CC(C)CC(=O)c1ccc(OCCCCOc2ccc(CCC(=O)O)c(O)c2)cc1O,-1.52,BBB-
39,CC(C)CC(=O)c1ccc(OCCCCOc2ccc3ccc(=O)oc3c2)cc1O,-1.52,BBB-
