num,smiles,logBB,BBB+/BBB-,predicted_energy
1,O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,-2.69,BBB-,12.943634986877441
2,COC1(NC(=O)C(C(=O)O)c2ccc(O)cc2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)COC21,-2.52,BBB-,30.492183685302734
3,Oc1c(I)cc(Cl)c2cccnc12,-2.4,BBB-,4.201716899871826
4,CCNC(=NCCSCc1ncccc1Br)NC#N,-2.15,BBB-,13.29988956451416
5,CN1CC[C@]23c4c5ccc(OC6O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]6O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,-2.15,BBB-,25.876197814941406
6,CS(=O)(=O)N(CCO)c1c(Cl)c(Cl)cc2[nH]c(=O)c(=O)[nH]c12,-2.15,BBB-,17.084884643554688
7,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)C=C[C@H]3[C@H]1C5,-2.09,BBB-,25.876197814941406
8,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,-2.09,BBB-,19.03085708618164
9,O=c1[nH]c2cc(Cl)ccc2c(O)c1-c1cccc(Oc2ccccc2)c1,-2.03,BBB-,3.3710851669311523
10,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,-2.0,BBB-,38.19752883911133
11,COc1cccnc1CCCCNc1ncc(Cc2ccc(C)nc2)c(=O)[nH]1,-2.0,BBB-,18.211387634277344
12,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@@H]1NCOC,-1.96,BBB-,14.477872848510742
13,Cc1ccc(Cc2cnc(NCCCCc3ncc(Br)cc3C)[nH]c2=O)cn1,-1.9,BBB-,11.944719314575195
14,COC1(NC(=O)C2SC(=C(C(N)=O)C(=O)O)S2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC21,-1.89,BBB-,28.427955627441406
15,CO[C@@]1(NC(=O)C2SC(=C(C(N)=O)C(=O)O)S2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,-1.89,BBB-,28.427955627441406
16,c1ccc(NC2=NCCN2)cc1,-1.89,BBB-,7.562300682067871
17,Cc1ccc(CC2CNC(NCCCCc3ncc(Br)cc3C)NC2=O)cn1,-1.88,BBB-,11.944717407226562
18,CN1Cc2c(-c3noc(C(C)(O)CO)n3)ncn2-c2cccc(Cl)c2C1=O,-1.82,BBB-,23.63886070251465
19,CC(C)c1nc(CN(C)C(=O)N[C@@H](C)C(=O)C[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)cs1,-1.82,BBB-,16.033992767333984
20,CN1Cc2c(-c3noc(C(C)(CO)CO)n3)ncn2-c2cccc(Cl)c2C1=O,-1.82,BBB-,23.082294464111328
21,CN1Cc2c(-c3noc(C(C)(O)O)n3)ncn2-c2cccc(Cl)c2C1=O,-1.82,BBB-,22.348430633544922
22,CN1Cc2c(-c3noc([C@](C)(O)CO)n3)ncn2-c2cccc(Cl)c2C1=O,-1.82,BBB-,23.63886260986328
23,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,-1.81,BBB-,6.966517448425293
24,CCOC(=O)N1CSCC1C(=O)O,-1.72,BBB-,13.124552726745605
25,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,-1.7,BBB-,4.4904327392578125
26,O=C1c2c(O)cc(O)cc2CC(c2ccc(O)c(O)c2)C1O,-1.7,BBB-,12.215846061706543
27,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,-1.7,BBB-,31.21218490600586
28,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,-1.68,BBB-,-3.475099563598633
29,C=CCc1cccc(/C=N\NC(=O)CN2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)c1O,-1.67,BBB-,15.608321189880371
30,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,-1.6,BBB-,17.370676040649414
31,OCC(O)C(O)C(O)C(O)CO,-1.6,BBB-,17.370676040649414
32,CC(=O)Nc1cccc(-c2csc(N=C(N)N)n2)c1,-1.57,BBB-,10.65116024017334
33,O=C(O)c1nc2ccc(C(F)(F)F)cc2nc1NCc1ccc(C(F)(F)F)cc1,-1.57,BBB-,6.931768417358398
34,CC(=O)NC1C(O)OC(COS(=O)(=O)O)C(OC2OC(COS(=O)(=O)O)C(O)C(O)C2O)C1O,-1.54,BBB-,36.8229866027832
35,CN=C(NC#N)Nc1cccc(-c2csc(N=C(N)N)n2)c1,-1.54,BBB-,17.3807315826416
36,NC(N)=Nc1nc(-c2ccc(O)c(O)c2)cs1,-1.54,BBB-,12.546477317810059
37,CC(C)CC(=O)c1ccc(OCCCCO)cc1O,-1.52,BBB-,8.51934814453125
38,CC(C)CC(=O)c1ccc(OCCCCOc2ccc(CCC(=O)O)c(O)c2)cc1O,-1.52,BBB-,12.746570587158203
39,CC(C)CC(=O)c1ccc(OCCCCOc2ccc3ccc(=O)oc3c2)cc1O,-1.52,BBB-,11.844740867614746
40,CCNc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,-1.52,BBB-,23.137197494506836
41,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,-1.52,BBB-,28.604259490966797
42,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)C/C(C)=C\C=C\[C@@H](C)C(O)[C@@H](C)[C@H](O)[C@H](C)[C@H](OC(C)=O)[C@@H]1C,-1.52,BBB-,38.05923843383789
43,NCC(CC(=O)O)c1ccc(Cl)cc1,-1.52,BBB-,2.855587959289551
44,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,-1.5,BBB-,38.19752883911133
45,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,-1.5,BBB-,28.604259490966797
46,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,-1.5,BBB-,21.365371704101562
47,Nc1ccn([C@@H]2CC[C@@H](CO)O2)c(=O)n1,-1.5,BBB-,16.45880889892578
48,CN[C@H]1C(=O)N[C@@H]2Cc3ccc(cc3)Oc3cc4cc(c3O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3NC(=O)CCCCCCCCC(C)C)Oc3ccc(cc3Cl)[C@@H](O)[C@@H]3NC(=O)[C@H](NC(=O)[C@@H]4NC(=O)[C@@H](NC2=O)c2cc(cc(O)c2Cl)Oc2cc1ccc2O)c1ccc(O)c(c1)-c1c(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)cc(O)cc1[C@@H](C(=O)NCCCN(C)C)NC3=O,-1.48,BBB-,76.06462097167969
49,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2O,-1.48,BBB-,6.310585975646973
50,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,-1.42,BBB-,4.651786804199219
51,CC(C)NC(O)COc1ccc(CC(N)=O)cc1,-1.42,BBB-,9.51144790649414
52,CN=C(NC#N)NCCSCC1=NC=NC1C,-1.42,BBB-,18.014480590820312
53,CN=C(NC#N)NCCSCc1nc[nH]c1C,-1.4,BBB-,18.014480590820312
54,CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1,-1.4,BBB-,-7.208708763122559
55,CCCc1nc(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)nn12,-1.4,BBB-,24.409027099609375
56,CCCn1c(=O)c2[nH]c(C3CCC(=O)C3)nc2n(CCC)c1=O,-1.4,BBB-,16.720827102661133
57,CCCn1c(=O)c2[nH]c([C@H]3CCC(=O)C3)nc2n(CCC)c1=O,-1.4,BBB-,16.720829010009766
58,COC(=O)Nc1nc2ccc(C(=O)N3CCN(c4ccccn4)CC3)cc2[nH]1,-1.4,BBB-,25.07724380493164
59,COc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCC(O)CC2)n1,-1.4,BBB-,14.849136352539062
60,NCc1c[n+]2ccccc2[nH]1,-1.4,BBB-,10.419534683227539
61,Nc1ccc(C(=O)O)cc1,-1.4,BBB-,4.4246296882629395
62,CCOc1ccc(C(=O)c2cccc3ccccc23)c2ccccc12,-1.39,BBB-,-3.7069292068481445
63,Cc1ccccc1N=C1N(C)CCN1C,-1.39,BBB-,11.330967903137207
64,Cc1ccccc1NC1=NCCN1,-1.39,BBB-,6.837311744689941
65,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,-1.36,BBB-,4.358226299285889
66,CN1[C@H]2CC[C@H]1[C@@H](CC(=O)O)[C@@H](OC(=O)c1ccccc1)C2,-1.35,BBB-,8.88882827758789
67,CN1Cc2c(-c3noc(C(C)(C)O)n3)ncn2-c2cccc(Cl)c2C1=O,-1.34,BBB-,20.86001205444336
68,O=C(O)c1cc(=O)c2c(Cl)cc(Cl)cc2[nH]1,-1.33,BBB-,7.100440979003906
69,O=c1[nH]cnc2c1ncn2C1CCC(CO)O1,-1.3,BBB-,20.928791046142578
70,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,-1.3,BBB-,8.48159408569336
71,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,-1.3,BBB-,26.59223175048828
72,CN(C)Cc1ccc(CSCCNc2nc(=O)c(Cc3ccc4ccccc4c3)c[nH]2)o1,-1.3,BBB-,13.4310302734375
73,COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCNCC1,-1.3,BBB-,12.098251342773438
74,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,-1.3,BBB-,7.7337646484375
75,COc1cccnc1CCCCNc1ncc(Cc2cccc(C)n2)c(=O)[nH]1,-1.3,BBB-,17.743167877197266
76,Cc1ccc(N=C2N(C)CCN2C)c(C)c1,-1.3,BBB-,10.651724815368652
77,Cc1ccc(NC2=NCCN2)c(C)c1,-1.3,BBB-,6.162220001220703
78,Cc1nc(Nc2ncc(C(=O)Nc3c(Cl)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,-1.3,BBB-,25.355297088623047
79,N#CC(c1ccc(Cl)cc1)c1c(Cl)cc(-n2ncc(=O)[nH]c2=O)cc1Cl,-1.3,BBB-,6.832612037658691
80,NCC1(Cc2noc(=O)[nH]2)CCCCC1,-1.3,BBB-,7.24454402923584
81,NCCc1nc(-c2ccccc2)cs1,-1.3,BBB-,2.554490089416504
82,Nc1nc(NCCc2ccc(O)cc2)nc2nc(-c3ccco3)nn12,-1.3,BBB-,20.209564208984375
83,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,-1.3,BBB-,1.2635631561279297
84,O=c1[nH]cnc2c1ncn2[C@@H]1CC[C@H](CO)O1,-1.3,BBB-,20.928791046142578
85,O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1,-1.3,BBB-,20.928791046142578
86,OCc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,-1.3,BBB-,7.74683952331543
87,COc1ccc2c(c1)C(CC(=O)O)C(C)N2C(=O)c1ccc(Cl)cc1,-1.26,BBB-,7.733761787414551
88,COc1ccc2c(c1)[C@@H](CC(=O)O)[C@H](C)N2C(=O)c1ccc(Cl)cc1,-1.26,BBB-,7.733763694763184
89,O=C(O)c1ccc(-c2ccccc2)cc1,-1.26,BBB-,-2.271456718444824
90,CN/C(=C/[N+](=O)[O-])NCCSc1ccc(CN(C)C)o1,-1.23,BBB-,22.466400146484375
91,CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,-1.23,BBB-,22.216323852539062
92,CN/C(=N\C[N+](=O)[O-])NCCSCc1coc(CN(C)C)c1,-1.23,BBB-,23.989004135131836
93,CN=C(C[N+](=O)[O-])NCCCSc1ccc(CN(C)C)o1,-1.23,BBB-,21.873451232910156
94,CN=C(C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,-1.23,BBB-,22.216325759887695
95,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,-1.23,BBB-,22.216323852539062
96,CNC(C[N+](=O)[O-])=NCCSc1ccc(CN(C)C)o1,-1.23,BBB-,22.466398239135742
97,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)C(C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,-1.23,BBB-,29.84246063232422
