B3DB_RF_BBB-,B3DB_GraphSAGE_BBB-,BBBP_RF_BBB-,BBBP_GraphSAGE_BBB-,B3DB_RF_BBB+,B3DB_GraphSAGE_BBB+,BBBP_RF_BBB+,BBBP_GraphSAGE_BBB+
46.51 ,80.06 ,46.05 ,80.06 ,42.73 ,59.25 ,45.27 ,59.25 
46.36 ,76.06 ,46.05 ,64.68 ,42.73 ,59.25 ,44.40 ,49.69 
46.36 ,64.68 ,45.60 ,64.00 ,42.73 ,59.25 ,38.21 ,43.87 
46.36 ,64.68 ,45.21 ,61.89 ,42.73 ,59.25 ,37.90 ,36.37 
46.36 ,64.68 ,44.94 ,56.13 ,42.73 ,59.24 ,37.39 ,36.03 
46.36 ,64.68 ,44.81 ,55.36 ,39.09 ,49.69 ,36.04 ,35.80 
46.36 ,64.68 ,44.81 ,53.87 ,38.21 ,49.69 ,32.57 ,35.54 
46.36 ,64.68 ,44.63 ,53.80 ,38.21 ,49.69 ,31.85 ,34.73 
45.78 ,64.68 ,44.52 ,49.20 ,38.21 ,49.69 ,31.76 ,34.40 
45.78 ,64.00 ,43.73 ,47.50 ,38.21 ,49.24 ,31.62 ,32.00 
45.78 ,63.91 ,43.70 ,46.41 ,36.78 ,49.24 ,30.78 ,31.40 
45.60 ,63.91 ,43.46 ,46.23 ,36.18 ,49.24 ,30.32 ,31.17 
45.60 ,63.91 ,43.43 ,45.49 ,36.18 ,49.20 ,28.68 ,30.75 
45.60 ,63.91 ,42.28 ,45.49 ,36.18 ,49.20 ,27.53 ,30.33 
45.60 ,63.18 ,41.49 ,44.27 ,36.18 ,49.20 ,27.19 ,30.29 
45.60 ,61.89 ,41.38 ,43.46 ,36.14 ,42.77 ,25.91 ,29.60 
45.27 ,61.89 ,41.12 ,43.18 ,35.88 ,39.34 ,25.31 ,29.21 
45.27 ,61.89 ,40.95 ,43.10 ,35.88 ,38.05 ,25.03 ,29.18 
45.27 ,61.89 ,40.86 ,42.38 ,35.72 ,37.24 ,24.88 ,28.87 
45.27 ,59.25 ,40.69 ,42.21 ,35.19 ,36.37 ,24.74 ,28.62 
