smiles,substructure,average_contribution
CN(C)C,C,1.0
CN(C)C,CC,0.0
CN(C)C,C=C,0.0
CN(C)C,C#C,0.0
CN(C)C,CO,0.0
CN(C)C,CCO,0.0
CN(C)C,c1ccccc1O,0.0
CN(C)C,COC,0.0
CN(C)C,C=O,0.0
CN(C)C,CC=O,0.0
CN(C)C,CC(=O)C,0.0
CN(C)C,C(=O)O,0.0
CN(C)C,CC(=O)O,0.0
CN(C)C,COC(=O)C,0.0
CN(C)C,CN,1.0
CN(C)C,CCN,0.0
CN(C)C,CC(=O)N,0.0
CN(C)C,CC#N,0.0
CN(C)C,CCl,0.0
CN(C)C,CCBr,0.0
CN(C)C,c1ccccc1S(=O)(=O)O,0.0
CN(C)C,c1ccccc1[N+](=O)[O-],0.0
CN(C)C,c1ccccc1,0.0
CN(C)C,Cc1ccccc1,0.0
CN(C)C,C=CC1=CC=CC=C1,0.0
CN(C)C,Nc1ccccc1,0.0
CN(C)C,c1ccc2ccccc2c1,0.0
CN(C)C,Oc1ccc2ccccc2c1,0.0
CN(C)C,Nc1ccc2cccc(c2)c1,0.0
CN(C)C,n1ccccc1,0.0
CN(C)C,o1cccc1,0.0
CN(C)C,s1cccc1,0.0
CN(C)C,n1cccc1,0.0
C1CCNC1,C,0.504043698310852
C1CCNC1,CC,0.44857320189476013
C1CCNC1,C=C,0.0
C1CCNC1,C#C,0.0
C1CCNC1,CO,0.0
C1CCNC1,CCO,0.0
C1CCNC1,c1ccccc1O,0.0
C1CCNC1,COC,0.0
C1CCNC1,C=O,0.0
C1CCNC1,CC=O,0.0
C1CCNC1,CC(=O)C,0.0
C1CCNC1,C(=O)O,0.0
C1CCNC1,CC(=O)O,0.0
C1CCNC1,COC(=O)C,0.0
C1CCNC1,CN,0.6873772144317627
C1CCNC1,CCN,0.5707955360412598
C1CCNC1,CC(=O)N,0.0
C1CCNC1,CC#N,0.0
C1CCNC1,CCl,0.0
C1CCNC1,CCBr,0.0
C1CCNC1,c1ccccc1S(=O)(=O)O,0.0
C1CCNC1,c1ccccc1[N+](=O)[O-],0.0
C1CCNC1,c1ccccc1,0.0
