num,smiles,energy
1,CN(C)C,3.482889
2,C1CCNC1,2.415628
3,C[N+](C)(C)[O-],0.5774312
4,CC(C(=O)O)N,5.794648
5,CNCC(=O)O,6.763821
6,C1=CC(=O)NC=C1,8.429222
7,C1=CC(=CN=C1)O,6.116403
8,C1CCN(C1)N=O,3.338057
9,CCCCC(=O)O,-1.377568
10,C(CC(=O)O)CN,5.187356
11,CN(C)CC(=O)O,6.262756
12,C(C(=O)O)C(=O)O,6.112192
13,CC(C)(C(=O)O)O,2.746852
14,C[N+](C)(C)CCO,16.65412
15,C(C(C(=O)O)N)O,7.963014
16,C(C(C(=O)O)O)O,8.876786
17,CC1=CC=C(C=C1)O,0.1493156
18,C(CS(=O)O)N,7.9515
19,C1=CC=C(C(=C1)O)O,2.572151
20,C1=CC(=CC=C1O)O,3.657811
21,C1=C(NC(=O)N=C1)N,13.78461
22,C1=C(NC=N1)CCN,8.947242
23,C1CC(NC1)C(=O)O,5.136201
25,C(=CC(=O)O)C(=O)O,7.279622
26,C(CC(=O)[O-])C(=O)[O-],24.75438
27,CCC(CC)C(=O)O,0.5482145
28,C(C(=O)O)N=C(N)N,8.192497
29,C1=CC=C2C(=C1)C=CN2,4.444177
30,C(CCN)CC(=O)O,4.886794
31,C(C(=O)O)(C(=O)O)N,11.41597
32,C(CO)C(C(=O)O)N,11.44261
33,CC(C(C(=O)O)N)O,8.814822
34,C1=C2C(=NC=N1)N=CN2,13.7466
35,C1=CC=C(C=C1)CC=O,6.086147
36,C1=CC(=CC=C1C=O)O,6.894022
37,C(C(C(CO)O)O)O,10.41118
38,C1=CC(=CN=C1)C(=O)O,10.21981
39,CC1=CC(=C(C=C1)O)O,4.481809
40,C(CS(=O)(=O)O)N,10.03021
41,CC1=C(NC(=O)N=C1)N,14.03797
42,C1=C(C=C(C=C1O)O)O,2.221457
43,C1=CC(=C(C(=C1)O)O)O,5.842005
44,C1=C(NC=N1)CC(=O)O,9.069784
45,CC1=CNC(=O)NC1=O,7.912806
46,C1CCNC(C1)C(=O)O,5.812083
47,C=C(CC(=O)O)C(=O)O,5.628878
48,CC(C)CC(C(=O)O)N,2.486296
49,CC(CC(=O)O)C(=O)O,5.367402
50,C(CC(=O)O)CC(=O)O,3.332253
51,C(C(C(=O)O)N)C(=O)N,11.49426
52,CC(C)CC(C(=O)O)O,1.658786
53,C(CC(C(=O)O)N)CN,8.364677
54,C(C(C(=O)O)N)C(=O)O,9.461982
55,C1C2=CC=CC=C2NC1=O,6.839767
56,C1=CC2=C(C=CN2)C=C1O,3.132535
57,C(C(C(=O)O)O)C(=O)O,7.055828
58,C1=NC2=NC=NC(=C2N1)N,13.50088
59,C1=CC=C(C=C1)CC(=O)N,7.569592
60,C(C(C(C(=O)O)O)O)O,9.122971
61,C(C(C(C(=O)O)O)O)O,8.482871
62,C1=NC2=C(N1)C(=O)NC=N2,15.15733
63,C[N+]1=CC=CC(=C1)C(=O)[O-],25.53217
64,C1=CC(=CC=C1C(=O)O)N,8.600115
65,C1=CC(=CC=C1CCN)O,6.058191
66,C1=CC=C(C=C1)C(CN)O,8.336256
67,C1=CC=C(C(=C1)C(=O)O)O,5.435565
68,C1=CC(=CC(=C1)O)C(=O)O,5.755558
69,C1=CC(=CC=C1C(=O)O)O,6.489412
70,C1=C(NC=N1)C=CC(=O)O,7.257556
71,C1=C(NC=N1)CCC(=O)O,7.424026
72,C1CC(CCC1C(=O)O)O,4.383952
73,CC(=O)NCCCCCN,8.22168
74,C1=CC=C2C(=C1)C(=CN2)C=O,7.711227
75,C(CC(=O)O)C(=O)C(=O)O,5.82718
76,C(CCC(=O)O)CC(=O)O,4.861296
77,C(CC(=O)N)C(C(=O)O)N,10.14863
78,C(CCN)CC(C(=O)O)N,7.949067
79,C(CC(=O)O)C(C(=O)O)N,8.331636
80,C1=CC=C(C=C1)C=CC(=O)O,3.489509
81,C1C(C(C(C(O1)O)O)O)O,14.32392
82,C1C(C(C(C(O1)O)O)O)O,13.9814
83,CC(C1=CC=CC=C1)C(=O)O,5.304699
84,C1=CC=C(C=C1)CCC(=O)O,5.128603
85,C1=NC2=C(N1)C(=O)NC(=O)N2,15.55801
86,C1=CC(=CC(=C1)O)CC(=O)O,5.76815
87,COC1=CC=CC(=C1)C(=O)O,11.5833
88,C1=CC(=CC=C1CC(=O)O)O,5.897002
